scaling,n_points,procs,rep,time
scaling,n_points,procs,rep,time
strong,27720000,1,1,0.637906
strong,27720000,2,1,0.317405
strong,27720000,3,1,0.217605
strong,27720000,4,1,0.263380
strong,27720000,5,1,0.212527
strong,27720000,6,1,0.181992
strong,27720000,7,1,0.166408
strong,27720000,8,1,0.277962
strong,27720000,9,1,0.254063
strong,27720000,10,1,0.136323
strong,27720000,11,1,0.171528
strong,27720000,12,1,0.264879
weak,2310000,1,1,0.051538
weak,4620000,2,1,0.059342
weak,6930000,3,1,0.069134
weak,9240000,4,1,0.087721
weak,11550000,5,1,0.089428
weak,13860000,6,1,0.091325
weak,16170000,7,1,0.090695
weak,18480000,8,1,0.094295
weak,20790000,9,1,0.097794
weak,23100000,10,1,0.099882
weak,25410000,11,1,0.144792
weak,27720000,12,1,0.235564
scaling,n_points,procs,rep,time
strong,27720000,1,2,0.638189
strong,27720000,2,2,0.337048
strong,27720000,3,2,0.224588
strong,27720000,4,2,0.270979
strong,27720000,5,2,0.211847
strong,27720000,6,2,0.186168
strong,27720000,7,2,0.155343
strong,27720000,8,2,0.137995
strong,27720000,9,2,0.129416
strong,27720000,10,2,0.119756
strong,27720000,11,2,0.175737
strong,27720000,12,2,0.239539
weak,2310000,1,2,0.063351
weak,4620000,2,2,0.061499
weak,6930000,3,2,0.061023
weak,9240000,4,2,0.088127
weak,11550000,5,2,0.096101
weak,13860000,6,2,0.093029
weak,16170000,7,2,0.091905
weak,18480000,8,2,0.094886
weak,20790000,9,2,0.096273
weak,23100000,10,2,0.105402
weak,25410000,11,2,0.138099
weak,27720000,12,2,0.337224
scaling,n_points,procs,rep,time
strong,27720000,1,3,0.606266
strong,27720000,2,3,0.315877
strong,27720000,3,3,0.218863
strong,27720000,4,3,0.171029
strong,27720000,5,3,0.138951
strong,27720000,6,3,0.180981
strong,27720000,7,3,0.163652
strong,27720000,8,3,0.176249
strong,27720000,9,3,0.238002
strong,27720000,10,3,0.208035
strong,27720000,11,3,0.158247
strong,27720000,12,3,0.246364
weak,2310000,1,3,0.051737
weak,4620000,2,3,0.059431
weak,6930000,3,3,0.063822
weak,9240000,4,3,0.089075
weak,11550000,5,3,0.090802
weak,13860000,6,3,0.096980
weak,16170000,7,3,0.063837
weak,18480000,8,3,0.071187
weak,20790000,9,3,0.067806
weak,23100000,10,3,0.068288
weak,25410000,11,3,0.153103
weak,27720000,12,3,0.235359
scaling,n_points,procs,rep,time
strong,27720000,1,4,0.618340
strong,27720000,2,4,0.348558
strong,27720000,3,4,0.225968
strong,27720000,4,4,0.264302
strong,27720000,5,4,0.212961
strong,27720000,6,4,0.179263
strong,27720000,7,4,0.157299
strong,27720000,8,4,0.140413
strong,27720000,9,4,0.128340
strong,27720000,10,4,0.119194
strong,27720000,11,4,0.169089
strong,27720000,12,4,0.235616
weak,2310000,1,4,0.050376
weak,4620000,2,4,0.064238
weak,6930000,3,4,0.063026
weak,9240000,4,4,0.089751
weak,11550000,5,4,0.089250
weak,13860000,6,4,0.091790
weak,16170000,7,4,0.092360
weak,18480000,8,4,0.099985
weak,20790000,9,4,0.103091
weak,23100000,10,4,0.099307
weak,25410000,11,4,0.145538
weak,27720000,12,4,0.427800
scaling,n_points,procs,rep,time
strong,27720000,1,5,0.627934
strong,27720000,2,5,0.367264
strong,27720000,3,5,0.240063
strong,27720000,4,5,0.288115
strong,27720000,5,5,0.218201
strong,27720000,6,5,0.180799
strong,27720000,7,5,0.177837
strong,27720000,8,5,0.158859
strong,27720000,9,5,0.124665
strong,27720000,10,5,0.115676
strong,27720000,11,5,0.160526
strong,27720000,12,5,0.230155
weak,2310000,1,5,0.050922
weak,4620000,2,5,0.059405
weak,6930000,3,5,0.061678
weak,9240000,4,5,0.088687
weak,11550000,5,5,0.089088
weak,13860000,6,5,0.092546
weak,16170000,7,5,0.091613
weak,18480000,8,5,0.094910
weak,20790000,9,5,0.096933
weak,23100000,10,5,0.099907
weak,25410000,11,5,0.165898
weak,27720000,12,5,0.290171
