scaling,n_points,procs,rep,time
strong,27720000,1,4,0.618340
strong,27720000,2,4,0.348558
strong,27720000,3,4,0.225968
strong,27720000,4,4,0.264302
strong,27720000,5,4,0.212961
strong,27720000,6,4,0.179263
strong,27720000,7,4,0.157299
strong,27720000,8,4,0.140413
strong,27720000,9,4,0.128340
strong,27720000,10,4,0.119194
strong,27720000,11,4,0.169089
strong,27720000,12,4,0.235616
weak,2310000,1,4,0.050376
weak,4620000,2,4,0.064238
weak,6930000,3,4,0.063026
weak,9240000,4,4,0.089751
weak,11550000,5,4,0.089250
weak,13860000,6,4,0.091790
weak,16170000,7,4,0.092360
weak,18480000,8,4,0.099985
weak,20790000,9,4,0.103091
weak,23100000,10,4,0.099307
weak,25410000,11,4,0.145538
weak,27720000,12,4,0.427800
